doc_id	layer	nur_bei	span	entscheidung	einigung	regel
01_performance-marketing-manager	SKILL	nur A	Erstellung und Abstimmung von Kommunikations - und Vertriebsunterlagen	übernommen	Erstellung und Abstimmung von Kommunikations - und Vertriebsunterlagen	R1
01_performance-marketing-manager	SKILL	nur A	Aufbau eines professionellen Produktmarketings	übernommen	Aufbau eines professionellen Produktmarketings	R1
01_performance-marketing-manager	SKILL	nur A	Planung , Überwachung und Einhaltung des Marketingbudgets	übernommen	Planung , Überwachung und Einhaltung des Marketingbudgets	R1
01_performance-marketing-manager	SKILL	nur A	Praxis im Einsatz gängiger Marketing - und Analyseplattformen	verworfen		R1: leeres Verb, Objekt unterbestimmt; nur Tools als KNOWLEDGE
01_performance-marketing-manager	SKILL	nur A	Kommunikationsfähigkeit auf Deutsch und Englisch in Wort und Schrift	angepasst	[S] Kommunikationsfähigkeit	R1
01_performance-marketing-manager	SKILL	nur B	Erstellung und Abstimmung von Kommunikations - und Vertriebsunterlagen für digitale und gedruckte Formate	angepasst	[S] Erstellung und Abstimmung von Kommunikations - und Vertriebsunterlagen	R1
01_performance-marketing-manager	SKILL	nur B	Begleitung der digitalen Weiterentwicklung des Marketings	übernommen	Begleitung der digitalen Weiterentwicklung des Marketings	R0
01_performance-marketing-manager	SKILL	nur B	Unterstützung beim Aufbau eines professionellen Produktmarketings	angepasst	[S] Aufbau eines professionellen Produktmarketings	R1
01_performance-marketing-manager	SKILL	nur B	Mitarbeit bei Planung , Überwachung und Einhaltung des Marketingbudgets	angepasst	[S] Planung , Überwachung und Einhaltung des Marketingbudgets	R1
01_performance-marketing-manager	SKILL	nur B	Einsatz gängiger Marketing - und Analyseplattformen wie Google Ads , Google Analytics , WordPress , Mailchimp oder Canva	verworfen		R1: leeres Verb; Tools als KNOWLEDGE
01_performance-marketing-manager	SKILL	nur B	Sehr gute Kommunikationsfähigkeit auf Deutsch und Englisch in Wort und Schrift	angepasst	[S] Kommunikationsfähigkeit	R1
01_performance-marketing-manager	KNOWLEDGE	nur B	B2B-Umfeld	übernommen	B2B-Umfeld	R3
01_performance-marketing-manager	KNOWLEDGE	nur B	Website	verworfen		R3: Arbeitsgegenstand
01_performance-marketing-manager	KNOWLEDGE	nur B	Produktmarketings	übernommen	Produktmarketings	R3
01_performance-marketing-manager	KNOWLEDGE	nur B	Marketingbudgets	verworfen		R3: Arbeitsgegenstand
01_performance-marketing-manager	KNOWLEDGE	nur B	B2B-Bezug	übernommen	B2B-Bezug	R3
02_social-media-manager	SKILL	nur A	Bildbearbeitung mit Adobe Photoshop CC	übernommen	Bildbearbeitung mit Adobe Photoshop CC	R3
02_social-media-manager	SKILL	nur A	Grafikdesign mit Adobe CC	übernommen	Grafikdesign mit Adobe CC	R3
02_social-media-manager	SKILL	nur B	Sie unterrichten hochqualifizierte Personen mit abgeschlossenem Studium oder Ausbildung im Bereich Marketing , Medien , Journalismus , Betriebswirtschaft oder Geistes - und Sprachwissenschaften oder mit vergleichbarer Berufserfahrung	angepasst	[S] unterrichten	R1
02_social-media-manager	SKILL	nur B	Qualifizierte Vermittlung der folgenden Bereiche	angepasst	[S] Vermittlung	R1
02_social-media-manager	KNOWLEDGE	nur A	Adobe Photoshop CC	übernommen	Adobe Photoshop CC	R3
02_social-media-manager	KNOWLEDGE	nur A	Künstliche Intelligenz	angepasst	[K] Künstliche Intelligenz ( KI )	R1
02_social-media-manager	KNOWLEDGE	nur A	Adobe CC	übernommen	Adobe CC	R3
02_social-media-manager	KNOWLEDGE	nur A	Social Media Marketing	übernommen	Social Media Marketing	R1
02_social-media-manager	KNOWLEDGE	nur A	Content Marketing	übernommen	Content Marketing	R1
02_social-media-manager	KNOWLEDGE	nur A	Projektarbeit	verworfen		R3: Kursbestandteil, kein Wissensgebiet
02_social-media-manager	KNOWLEDGE	nur B	Bildbearbeitung mit Adobe Photoshop CC	angepasst	[K] Adobe Photoshop CC	R3
02_social-media-manager	KNOWLEDGE	nur B	Künstliche Intelligenz ( KI ) im Arbeitsprozess	angepasst	[K] Künstliche Intelligenz ( KI )	R1
02_social-media-manager	KNOWLEDGE	nur B	Grafikdesign mit Adobe CC	angepasst	[K] Adobe CC	R3
02_social-media-manager	KNOWLEDGE	nur B	Fachwissen Social Media Marketing	angepasst	[K] Social Media Marketing	R1
02_social-media-manager	KNOWLEDGE	nur B	Fachwissen Content Marketing	angepasst	[K] Content Marketing	R1
02_social-media-manager	KNOWLEDGE	nur B	Projektarbeit , Zertifizierungsvorbereitung und Zertifizierungsprüfung	verworfen		R3: Kursbestandteile
03_e-commerce-trainer	SKILL	nur B	Sie unterrichten Personen , die bei der Konzipierung , Gestaltung und praktischen Umsetzung von Internet - Auftritten mit E-Commerce-Funktionen verantwortlich mitwirken und die dafür notwendigen Kenntnisse und Fähigkeiten erwerben wollen	angepasst	[S] unterrichten	R1
03_e-commerce-trainer	SKILL	nur B	Qualifizierte Vermittlung der folgenden Bereiche	angepasst	[S] Vermittlung	R1
03_e-commerce-trainer	KNOWLEDGE	nur A	E-Commerce	übernommen	E-Commerce	R2
03_e-commerce-trainer	KNOWLEDGE	nur A	Online-Shop-Systeme	angepasst	[K] Online-Shop-Systeme und - Gestaltung	R2
03_e-commerce-trainer	KNOWLEDGE	nur A	Künstliche Intelligenz	angepasst	[K] Künstliche Intelligenz ( KI )	R1
