doc_id	layer	span	herkunft	regel	hinweis
01_performance-marketing-manager	SKILL	Erstellung und Abstimmung von Kommunikations - und Vertriebsunterlagen	wie A	R1	
01_performance-marketing-manager	SKILL	Begleitung der digitalen Weiterentwicklung des Marketings	wie B	R0	
01_performance-marketing-manager	SKILL	Aufbau eines professionellen Produktmarketings	wie A	R1	
01_performance-marketing-manager	SKILL	Planung , Überwachung und Einhaltung des Marketingbudgets	wie A	R1	
01_performance-marketing-manager	SKILL	Kommunikationsfähigkeit	angepasst	R1	
01_performance-marketing-manager	KNOWLEDGE	B2B-Umfeld	wie B	R3	
01_performance-marketing-manager	KNOWLEDGE	Produktmarketings	wie B	R3	in Skill verschachtelt
01_performance-marketing-manager	KNOWLEDGE	B2B-Bezug	wie B	R3	
02_social-media-manager	SKILL	Bildbearbeitung mit Adobe Photoshop CC	wie A	R3	
02_social-media-manager	SKILL	Grafikdesign mit Adobe CC	wie A	R3	
02_social-media-manager	SKILL	unterrichten	angepasst	R1	Grenzfall
02_social-media-manager	SKILL	Vermittlung	angepasst	R1	Grenzfall: Objekt anaphorisch
02_social-media-manager	KNOWLEDGE	Adobe Photoshop CC	wie A	R3	
02_social-media-manager	KNOWLEDGE	Adobe CC	wie A	R3	
02_social-media-manager	KNOWLEDGE	Künstliche Intelligenz ( KI )	angepasst	R1	
02_social-media-manager	KNOWLEDGE	Social Media Marketing	wie A	R1	
02_social-media-manager	KNOWLEDGE	Content Marketing	wie A	R1	
03_e-commerce-trainer	SKILL	unterrichten	angepasst	R1	Grenzfall
03_e-commerce-trainer	SKILL	Vermittlung	angepasst	R1	Grenzfall: Objekt anaphorisch
03_e-commerce-trainer	KNOWLEDGE	E-Commerce	wie A	R2	
03_e-commerce-trainer	KNOWLEDGE	Online-Shop-Systeme und - Gestaltung	wie B	R2	
03_e-commerce-trainer	KNOWLEDGE	Künstliche Intelligenz ( KI )	angepasst	R1	
03_e-commerce-trainer	KNOWLEDGE	Online-Marketing	wie A	R2	
03_e-commerce-trainer	KNOWLEDGE	Kundengewinnung	wie A	R2	
03_e-commerce-trainer	KNOWLEDGE	Zahlungssysteme	wie A	R2	
03_e-commerce-trainer	KNOWLEDGE	Finanzen	wie A	R2	
03_e-commerce-trainer	KNOWLEDGE	Logistik	wie A	R2	
03_e-commerce-trainer	KNOWLEDGE	Fulfillment	wie A	R2	
