doc_id	layer	span	position	zuordnung
01_performance-marketing-manager	SKILL	Erstellung und Abstimmung von Kommunikations - und Vertriebsunterlagen	709-778	exakt wie A
01_performance-marketing-manager	SKILL	Begleitung der digitalen Weiterentwicklung des Marketings	945-1002	exakt wie B
01_performance-marketing-manager	SKILL	Aufbau eines professionellen Produktmarketings	1024-1070	exakt wie A
01_performance-marketing-manager	SKILL	Planung , Überwachung und Einhaltung des Marketingbudgets	1087-1143	exakt wie A
01_performance-marketing-manager	SKILL	Kommunikationsfähigkeit	1696-1719	am strittigen Span
01_performance-marketing-manager	KNOWLEDGE	B2B-Umfeld	332-342	exakt wie B
01_performance-marketing-manager	KNOWLEDGE	Produktmarketings	1053-1070	exakt wie B
01_performance-marketing-manager	KNOWLEDGE	B2B-Bezug	1257-1266	exakt wie B
02_social-media-manager	SKILL	Bildbearbeitung mit Adobe Photoshop CC	444-482	exakt wie A
02_social-media-manager	SKILL	Grafikdesign mit Adobe CC	533-558	exakt wie A
02_social-media-manager	SKILL	unterrichten	165-177	am strittigen Span
02_social-media-manager	SKILL	Vermittlung	406-417	am strittigen Span
02_social-media-manager	KNOWLEDGE	Adobe Photoshop CC	464-482	exakt wie A
02_social-media-manager	KNOWLEDGE	Adobe CC	550-558	exakt wie A
02_social-media-manager	KNOWLEDGE	Künstliche Intelligenz ( KI )	485-512	am strittigen Span
02_social-media-manager	KNOWLEDGE	Social Media Marketing	572-594	exakt wie A
02_social-media-manager	KNOWLEDGE	Content Marketing	608-625	exakt wie A
03_e-commerce-trainer	SKILL	unterrichten	169-181	am strittigen Span
03_e-commerce-trainer	SKILL	Vermittlung	415-426	am strittigen Span
03_e-commerce-trainer	KNOWLEDGE	E-Commerce	468-478	exakt wie A
03_e-commerce-trainer	KNOWLEDGE	Online-Shop-Systeme und - Gestaltung	502-537	exakt wie B
03_e-commerce-trainer	KNOWLEDGE	Künstliche Intelligenz ( KI )	540-567	am strittigen Span
03_e-commerce-trainer	KNOWLEDGE	Online-Marketing	588-604	exakt wie A
03_e-commerce-trainer	KNOWLEDGE	Kundengewinnung	609-624	exakt wie A
03_e-commerce-trainer	KNOWLEDGE	Zahlungssysteme	627-642	exakt wie A
03_e-commerce-trainer	KNOWLEDGE	Finanzen	647-655	exakt wie A
03_e-commerce-trainer	KNOWLEDGE	Logistik	658-666	exakt wie A
03_e-commerce-trainer	KNOWLEDGE	Fulfillment	671-682	exakt wie A
03_e-commerce-trainer	KNOWLEDGE	Kundenservice	685-698	exakt wie A
03_e-commerce-trainer	KNOWLEDGE	CRM	703-706	exakt wie A
03_e-commerce-trainer	KNOWLEDGE	Web-Controlling	709-724	exakt wie A
03_e-commerce-trainer	KNOWLEDGE	Datenanalyse	729-741	exakt wie A
04_produktmanager	SKILL	Eigenverantwortliche Begleitung und Weiterentwicklung unserer Produkte von der Idee bis zur Umsetzung	1304-1405	exakt wie B
04_produktmanager	SKILL	Mitwirkung an Produktstrategie , Roadmaps und Business Cases	1626-1685	exakt wie A
04_produktmanager	SKILL	Entwicklung eines konsistenten , zukunftsfähigen Produktportfolios	1725-1790	exakt wie A
04_produktmanager	SKILL	Optimierung von Go-to-Market-Prozessen	2137-2175	exakt wie A
04_produktmanager	SKILL	Arbeit mit technischen Teams	2835-2863	am strittigen Span
04_produktmanager	SKILL	Übersetzung von Anforderungen in umsetzbare Produktlösungen	2877-2936	exakt wie A
04_produktmanager	SKILL	Strategische und zugleich pragmatische Arbeitsweise	2939-2990	exakt wie A
04_produktmanager	SKILL	Vision und Umsetzung in Einklang zu bringen	3010-3053	am strittigen Span
04_produktmanager	SKILL	kommunikative Fähigkeiten	3073-3098	am strittigen Span
04_produktmanager	SKILL	Projekte selbstständig zu übernehmen und voranzutreiben	3120-3175	exakt wie A
04_produktmanager	SKILL	Weiterentwicklung unserer Produkte	240-274	am strittigen Span
04_produktmanager	SKILL	übersetzt Kundenanforderungen und Marktbedarfe in klare Produktanforderungen	360-436	am strittigen Span
04_produktmanager	SKILL	priorisierst Features	438-459	am strittigen Span
04_produktmanager	SKILL	begleitest Produkte von der Idee bis zur erfolgreichen Umsetzung	464-528	am strittigen Span
04_produktmanager	SKILL	eigenverantwortlich	709-728	am strittigen Span
04_produktmanager	SKILL	datenbasiert	730-742	am strittigen Span
04_produktmanager	SKILL	pragmatisch	747-758	am strittigen Span
04_produktmanager	SKILL	Unterstützung reibungsloser Abläufe	2016-2051	am strittigen Span
04_produktmanager	KNOWLEDGE	Produktstrategie	124-140	exakt wie A
04_produktmanager	KNOWLEDGE	technische Produktentwicklung	143-172	exakt wie A
04_produktmanager	KNOWLEDGE	Go-to-Market	187-199	exakt wie A
04_produktmanager	KNOWLEDGE	Business Cases	1671-1685	exakt wie A
04_produktmanager	KNOWLEDGE	Produktmanagement	2452-2469	exakt A=B
04_produktmanager	KNOWLEDGE	Produktstrategie	2732-2748	exakt wie A
04_produktmanager	KNOWLEDGE	Marktmechaniken	2750-2765	exakt wie A
04_produktmanager	KNOWLEDGE	technische Produktentwicklung	2767-2796	exakt wie A
04_produktmanager	KNOWLEDGE	Business Cases	2801-2815	exakt wie A
04_produktmanager	KNOWLEDGE	Go-to-Market-Prozessen	2153-2175	exakt wie B
04_produktmanager	KNOWLEDGE	IoT - , SaaS - , Energie - oder Funktechnologie-nahen Umfeld	2507-2562	am strittigen Span
05_marketing-allrounder-seo	SKILL	Eigenständige Betreuung und kontinuierliche Optimierung unserer Website	543-614	exakt wie A
05_marketing-allrounder-seo	SKILL	Aufbau und Pflege von Backlinks	692-723	exakt wie A
05_marketing-allrounder-seo	SKILL	Zusammenarbeit mit relevanten Portalen , Verbänden und Kooperationspartnern	730-804	exakt wie A
05_marketing-allrounder-seo	SKILL	Positionierung unserer Standorte	892-924	am strittigen Span
05_marketing-allrounder-seo	SKILL	Enge Zusammenarbeit mit der Geschäftsführung	1047-1091	am strittigen Span
06_sozialarbeiter-psychosozialer-dienst	SKILL	Beratung von Patient : innen und deren Angehörige in Bezug auf die Sicherung der nachstationären Versorgung	2514-2619	exakt wie A
06_sozialarbeiter-psychosozialer-dienst	SKILL	Zusammenarbeit im multiprofessionellen Team	2988-3031	exakt wie A
06_sozialarbeiter-psychosozialer-dienst	SKILL	Strukturierte und zuverlässige Arbeitsweise	3134-3177	exakt wie A
06_sozialarbeiter-psychosozialer-dienst	SKILL	lösungsorientiertes , selbstständiges und verantwortungsvolles Arbeiten	3184-3254	exakt wie A
06_sozialarbeiter-psychosozialer-dienst	KNOWLEDGE	sozialrechtlichen Fragestellungen	2416-2449	exakt wie B
06_sozialarbeiter-psychosozialer-dienst	KNOWLEDGE	psychischen Erkrankungen	2887-2911	exakt wie B
07_heilerziehungspfleger	SKILL	Gestaltung von pädagogischen Angeboten	753-791	exakt wie A
07_heilerziehungspfleger	SKILL	Elternarbeit	1331-1343	exakt wie A
07_heilerziehungspfleger	SKILL	Dokumentation	1345-1358	exakt wie A
07_heilerziehungspfleger	SKILL	Entwicklungsbegleitung	1363-1385	exakt wie A
07_heilerziehungspfleger	SKILL	Teamfähigkeit	1388-1401	exakt wie A
07_heilerziehungspfleger	SKILL	Kreativität	1403-1414	exakt wie A
07_heilerziehungspfleger	SKILL	Zuverlässigkeit	1416-1431	exakt wie A
07_heilerziehungspfleger	SKILL	Einfühlungsvermögen	1436-1455	exakt wie A
07_heilerziehungspfleger	SKILL	Kommunikationsfähigkeit	1463-1486	exakt wie B
07_heilerziehungspfleger	KNOWLEDGE	Krippen - oder Elementarbereich	1194-1224	exakt wie B
