kategorie	id	gold_span	vorhersage	satz	notiz	befund
uebersehen	test_174	Zuverlässigkeit		- Teamfähigkeit , Kreativität , Zuverlässigkeit und Einfühlungsvermögen	Soft-Skill-Nomen in Liste übersehen	UE: Soft Skill
uebersehen	test_47	unterrichten		Sie unterrichten Personen , die bei der Konzipierung , Gestaltung und praktischen Umsetzung von Internet - Auftritten mit E-Commerce-Funktionen verantwortlich mitwirken und die dafür notwendigen Kenntnisse und Fähigkeiten erwerben wollen .	Verbalphrase übersehen	UE: verbal
uebersehen	test_112	Positionierung unserer Standorte		- Unterstützung bei der Positionierung unserer Standorte Berlin und Hamburg	Substantivierung in Rahmen „Unterstützung bei der“ übersehen	UE: Substantivierung
uebersehen	test_438	Weiterentwicklung und Optimierung des Investitionscontrollings		- Mitarbeit an Projekten zur Weiterentwicklung und Optimierung des Investitionscontrollings	Substantivierung in Rahmen „Mitarbeit an Projekten zur“ übersehen	UE: Substantivierung
uebersehen	test_391	Allgemeine Verwaltungsaufgaben		- Allgemeine Verwaltungsaufgaben	Nominalphrase übersehen	UE: sonstige Nominalphrase
uebersehen	test_118	Sicherer Umgang mit gängigen SEO - und Analyse-Tools		- Sicherer Umgang mit gängigen SEO - und Analyse-Tools	Substantivierung übersehen	UE: Substantivierung
uebersehen	test_8	Ausbau der Online-Sichtbarkeit durch gezielte Maßnahmen in Suchmaschinenmarketing und Suchmaschinenoptimierung		- Ausbau der Online-Sichtbarkeit durch gezielte Maßnahmen in Suchmaschinenmarketing und Suchmaschinenoptimierung	Substantivierung übersehen	UE: Substantivierung
uebersehen	test_592	Umlagerungen zur Optimierung der Lagerbestände		Umlagerungen zur Optimierung der Lagerbestände durch und übernehmen die Verpackung der Fertigwaren – Sie sind somit die letzte Station im Fertigungsprozess und sorgen für einen	Substantivierung in Rahmen „führen … durch“ übersehen	UE: Substantivierung
uebersehen	test_594	Reinigungs - und		Darüber hinaus gehören die Pflege und Wartung von Batterien sowie Gabelstaplern ebenso zu Ihrem Aufgabenbereich wie allgemeine Reinigungs - und	Gold abgeschnitten – Artefakt	Artefakt
uebersehen	test_409	Periodengerechte Abgrenzung von Unternehmenskosten		- Periodengerechte Abgrenzung von Unternehmenskosten und tägliche Buchung von Geschäftsvorfällen	Substantivierung übersehen	UE: Substantivierung
