kategorie	id	gold_span	vorhersage	satz	notiz	befund
uebersehen	test_2569	implementation of SuccessFactors		Key responsibilities include: HQ lead on the implementation of SuccessFactors .	nominal, übersehen	UE: nominal
uebersehen	test_2506	castration		The tasks can be feeding moving castration insemination monitoring the animals health and others .	fachbegriff in liste (tierhaltung), übersehen	UE: nominal
uebersehen	test_3396	first-aid skills		You have first-aid skills	nominal, übersehen	UE: nominal
uebersehen	test_3066	working as a key member of an agile team		A vacancy exists for a <PROFESSION> <PROFESSION> with strong Java skills and experience of working in the web layer working as a key member of an agile team .	haltung/ziel übersehen	UE: Haltung/Ziel
uebersehen	test_979	contribute innovations		The same applies to your willingness to familiarize yourself with new technologies and to contribute innovations	verbphrase übersehen	UE: verbal
uebersehen	test_2594	inclusive		Work in a way that is patient-centred and inclusive .	adjektiv übersehen	UE: Adjektiv
uebersehen	test_3294	Contribution to the administrative responsibilities		Contribution to the administrative responsibilities of the Department and to CBS-wide tasks .	nominal, übersehen	UE: nominal
uebersehen	test_84	maintenance		* Understanding of software skills such as business analysis development maintenance and software improvement	nominal, übersehen	UE: nominal
uebersehen	test_3452	enthusiastic		You are committed and flexible have an innovative mind-set with lots of new ideas are ready to face new challenges and like to take responsibility possess excellent skills to execute and communicate complex research goals are enthusiastic about working at the frontier of catalysis sciences .	adjektiv übersehen	UE: Adjektiv
uebersehen	test_2909	cloning reactions		Perform molecular biology techniques in particular PCR restriction and cloning reactions and DNA/RNA and protein purification procedures .	in liste ohne kommas übersehen, xlmr auch	UE: nominal
uebersehen	test_2506	moving		The tasks can be feeding moving castration insemination monitoring the animals health and others .	fachbegriff in liste (tierhaltung), übersehen	UE: nominal
uebersehen	test_3275	teaching		The successful candidate ideally has experience in research management as well as successful teaching experience from relevant marketing areas .	nominal, übersehen	UE: nominal
uebersehen	test_3541	data modelling		Qualifications within dairy production data modelling evaluation of feed quality and feed intake in dairy cattle and good knowledge of the Nordic feed evaluation system NorFor as well as DairyManagement System or similar systems are considered an advantage .	nominal, übersehen	UE: nominal
uebersehen	test_3305	teaching		The successful candidate must be able to provide dynamic leadership in the development of research teaching and research dissemination as well as in working with business and society .	nominal, übersehen	UE: nominal
uebersehen	test_2004	select the best talent to join		Helping us to select the best talent to join us in our Product Team ( code reviews and participation in interviews) .	verbphrase übersehen	UE: verbal
uebersehen	test_3085	Agree stories are sufficiently described		Agree stories are sufficiently described for their implementation verification and delivery.	verbphrase übersehen	UE: verbal
uebersehen	test_799	build cloud		You're aware of the 12-Factor App approach and want to build cloud	verbphrase übersehen	UE: verbal
uebersehen	test_3069	sprint planning		Actively taking part in sprint planning backlog grooming and task estimation Hands-on development and modification of frameworks common components and business components	nominal, übersehen	UE: nominal
uebersehen	test_1396	offer them professional advice		You develop an in-depth understanding of the domains and the requirements of individual projects and you are happy to share your valuable insights with customers and offer them professional advice .	verbphrase übersehen	UE: verbal
uebersehen	test_1926	stay focused on common goals		You'll be required to apply your depth of knowledge and expertise to all aspects of the software development lifecycle as well as partner continuously with your many stakeholders on a daily basis to stay focused on common goals .	haltung/ziel übersehen, xlmr auch!	UE: Haltung/Ziel
uebersehen	test_1548	Requirements capture/analysis and documentation		Requirements capture/analysis and documentation	nominal, übersehen	UE: nominal
uebersehen	test_774	experimentation		We believe in experimentation continuous improvement and learning from failure .	nominal, übersehen	UE: nominal
uebersehen	test_32	developmental toolsets		* • Working proficiency in developmental toolsets	nominal, übersehen	UE: nominal
uebersehen	test_1682	maximise the benefit		Work with business product owners and business analysts to elicit requirements & assist in developing design specifications to maximise the benefit of Dynamics 365 .	haltung/ziel übersehen	UE: Haltung/Ziel
uebersehen	test_3520	structured		The employees are expected to have a high personal motivation drive and capability to approach complex tasks with an open mind and focus on providing the best solution for <ORGANIZATION> <ORGANIZATION> in a very structured and analytic manner .	adjektiv übersehen, xlmr auch	UE: Adjektiv
uebersehen	test_3141	applying domain expertise		Our team is committed to extracting insights and value from data by applying domain expertise tools and technology and contemporary analytics .	verbphrase übersehen	UE: verbal
uebersehen	test_2506	insemination		The tasks can be feeding moving castration insemination monitoring the animals health and others .	fachbegriff in liste (tierhaltung), übersehen	UE: nominal
uebersehen	test_1940	achieve organizational goals		* Ability to work in large collaborative teams to achieve organizational goals	haltung/ziel übersehen	UE: Haltung/Ziel
uebersehen	test_797	curious about new technology		You’re a problem solver who's curious about new technology .	haltung/ziel übersehen	UE: Haltung/Ziel
