kategorie	id	gold_span	vorhersage	satz	notiz	befund
uebersehen	test_1856	participating in sprint planning backlog refinement		• Experience of working in an Agile environment participating in sprint planning backlog refinement and retrospectives .	Tätigkeit (Verbalphrase) übersehen	UE: verbal
uebersehen	test_3357	providing fun informative and engaging tours		DO YOU: Love being outdoors all day long come rain or sunshine? Have a desire to create an entertaining & memorable tour for our worldwide visitors? Have a passionate interest in <LOCATION> and want to share your knowledge? Have a responsible and professional work ethic? Want to have a unique workday? If you answered yes to all of the above then you could just be the guide we need! Once you have completed the training to our standard ( read further below) your job responsibilites will include: Being Segway Guide on our various sightseeing & private tours: providing fun informative and engaging tours to tourists ( and locals) .	Tätigkeit (Verbalphrase) übersehen	UE: verbal
uebersehen	test_2543	general management and development of the employees		You will be responsible for the general management and development of the employees for budget and resource allocation and for ensuring timely and efficient project execution with high quality results .	Nominalphrase/Fachbegriff übersehen	UE: nominal
uebersehen	test_3187	live-sample imaging		The PhD Student will be responsible for constructing a 'light sheet' fluorescence microscope for live-sample imaging of 3D printed organoids mimicking the intestinal barrier .	Nominalphrase/Fachbegriff übersehen	UE: nominal
uebersehen	test_3029	appointment setting		Responsible for your own lead generation appointment setting proposal development and presentation you will pro-actively manage the international sales for <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> .	Nomen in Aufzählung ohne Kommas übersehen	UE: nominal
uebersehen	test_2402	paper and project writing		Fluency in English excellent communication and collaborations skills as well as independence in paper and project writing are necessary prerequisites .	Nominalphrase/Fachbegriff übersehen	UE: nominal
uebersehen	test_3452	enthusiastic		You are committed and flexible have an innovative mind-set with lots of new ideas are ready to face new challenges and like to take responsibility possess excellent skills to execute and communicate complex research goals are enthusiastic about working at the frontier of catalysis sciences .	Eigenschaftsadjektiv übersehen	UE: Adjektiv
uebersehen	test_1685	development		Experience in design development and delivery experience across the Dynamics 365 landscape ( historically Dynamics CRM ) Strong understanding of the Dynamics 365 platform core modules and technologies	Nomen in Aufzählung ohne Kommas übersehen	UE: nominal
uebersehen	test_3289	Research-based teaching		Research-based teaching supervision and examination at all levels .	Nomen in Aufzählung ohne Kommas übersehen	UE: nominal
uebersehen	test_3547	research		Required qualifications a PhD degree or similar qualifications in relation to the above subject area research and teaching experience within the field of the position The Assistant Professor is also required to be enterprising and to possess good interpersonal skills .	Nomen in Aufzählung ohne Kommas übersehen	UE: nominal
uebersehen	test_2774	willing		Energetic willing and able to find compromises between multiple and sometimes conflicting interests Strategic mindset Big picture Thinking Deep Dive Customer Obsession Deliver Results Ownership and Implementation .	Eigenschaftsadjektiv übersehen	UE: Adjektiv
uebersehen	test_1404	Clear easy-to-maintain code		Clear easy-to-maintain code are important to you .	Nominalphrase/Fachbegriff übersehen	UE: nominal
uebersehen	test_70	stay focused on common goals		You'll be required to apply your depth of knowledge and expertise to all aspects of the software development lifecycle as well as partner continuously with your many stakeholders on a daily basis to stay focused on common goals .	Haltungs-/Zielformulierung übersehen	UE: Haltung/Ziel
uebersehen	test_3520	structured		The employees are expected to have a high personal motivation drive and capability to approach complex tasks with an open mind and focus on providing the best solution for <ORGANIZATION> <ORGANIZATION> in a very structured and analytic manner .	Eigenschaftsadjektiv übersehen	UE: Adjektiv
uebersehen	test_2989	technical and business skills		You embrace work load enthusiastically and you are comfortable with a fast paced quickly changing work environment with this great mixture of technical and business skills can articulate the vision in the way others will understand and what ‘s more important will follow it .	Nominalphrase/Fachbegriff übersehen	UE: nominal
uebersehen	test_3029	proposal development and presentation		Responsible for your own lead generation appointment setting proposal development and presentation you will pro-actively manage the international sales for <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> <ORGANIZATION> .	Nomen in Aufzählung ohne Kommas übersehen	UE: nominal
uebersehen	test_977	testing and development		Experience with agile approaches to software testing and development	Nominalphrase/Fachbegriff übersehen	UE: nominal
uebersehen	test_1480	API design		API design	Nominalphrase/Fachbegriff übersehen	UE: nominal
uebersehen	test_2909	cloning reactions		Perform molecular biology techniques in particular PCR restriction and cloning reactions and DNA/RNA and protein purification procedures .	Nomen in Aufzählung ohne Kommas übersehen	UE: nominal
uebersehen	test_3447	catalyst testing		This work will be integrated with complementary state-of-the-art characterization tools surface science techniques as well as catalyst testing and synthesis to develop an understanding of the catalytic performances and target new designs of catalyst materials for improving NOx emission control .	Nomen in Aufzählung ohne Kommas übersehen	UE: nominal
uebersehen	test_1794	Incorporating that testing into automation		Incorporating that testing into automation	Tätigkeit (Verbalphrase) übersehen	UE: verbal
uebersehen	test_1553	Documentation		Documentation – both technical and non-technical	Nominalphrase/Fachbegriff übersehen	UE: nominal
uebersehen	test_3518	dynamic		The team is very dynamic and we have a high pace in our normal work days .	Eigenschaftsadjektiv übersehen	UE: Adjektiv
uebersehen	test_277	build highly efficient accurate and scalable computer vision and machine learning services		You will work directly with a team of veterans and young bright technical minds on exciting challenges as we build highly efficient accurate and scalable computer vision and machine learning services for high-end customers .	Tätigkeit (Verbalphrase) übersehen	UE: verbal
uebersehen	test_3450	SCR catalysis		Develop our atomic-scale model for SCR catalysis .	Nominalphrase/Fachbegriff übersehen	UE: nominal
uebersehen	test_2998	Product / Project Management		Product / Project Management skills	Nominalphrase/Fachbegriff übersehen	UE: nominal
uebersehen	test_2551	people management		Have experience with people management	Nominalphrase/Fachbegriff übersehen	UE: nominal
uebersehen	test_3198	contribute to the enjoyable and collaborative work environment		Finally it is important that the PhD Student is motivated to contribute to the enjoyable and collaborative work environment in DTU's new Department of Health Technology which will host our research group and research centre starting January 1st 2019 .	Haltungs-/Zielformulierung übersehen	UE: Haltung/Ziel
uebersehen	test_2878	ensure that production runs in accordance with GMP		You and your team will ensure that production runs in accordance with GMP and other requirements described in Novo Nordisk standards .	Tätigkeit (Verbalphrase) übersehen	UE: verbal
uebersehen	test_1403	test automation		At the same time you have a high level of awareness when it comes to quality and you possess the necessary skills such as testing at various levels in an agile environment and test automation .	Nominalphrase/Fachbegriff übersehen	UE: nominal
falscher Alarm	test_1614		manage reference data	You will join a growing agile feature team that is responsible for Reference Data Engineering which is a diverse development role with a primary focus on creating API services which manage reference data used to control how we process post trade and settlement activities .	beschreibt Firma/Angebot, nicht Bewerber	FA: Kontext falsch
falscher Alarm	test_1446		eye for professional user experience	Web Frontend Developer with an eye for professional user experience ( m/f/d ) <ORGANIZATION>	plausibler Skill, Gold fehlt	FA: Annotationslücke
falscher Alarm	test_2547		interfaces between external/internal customers	In this position you need to: Have a Master or PhD degree in chemical/biochemical engineering or related field such as bio(chemistry ) or food science Have experience with project leadership Have experience with interfaces between external/internal customers and understanding their needs .	plausibler Skill, Gold fehlt	FA: Annotationslücke
falscher Alarm	test_2102		statistical modeling and optimization problems	Affinity for statistical modeling and optimization problems	plausibler Skill, Gold fehlt	FA: Annotationslücke
falscher Alarm	test_1486		by actively participating in innovation projects	At the same time you can give free rein to your ideas by actively participating in innovation projects and realize exciting projects in a team .	Firmenangebot, dazu „by“ vorne	FA: Kontext falsch
falscher Alarm	test_2767		differentiating Danfoss digitally	You will create impact with differentiating Danfoss digitally by developing and implementing a Digital Supply Chain strategy sharing best practice across <ORGANIZATION> and developing new initiatives in cooperation with the Digital Supply Chain Community .	beschreibt Firma/Angebot, nicht Bewerber	FA: Kontext falsch
falscher Alarm	test_27		shape the key components of the product	This framework is at an early stage of development which offers an opportunity for an experienced developer to help shape the key components of the product and create commercial opportunities for a new business initiative .	beschreibt Firma/Angebot, nicht Bewerber	FA: Kontext falsch
falscher Alarm	test_918		Work in an interdisciplinary team	Work in an interdisciplinary team	plausibler Skill, Gold fehlt	FA: Annotationslücke
falscher Alarm	test_2763		collaborating with customers and suppliers for data-driven solutions	One of the most fundamental shifts needed to transform to a Digital Supply Chain is re-orienting from an internal focus to a customer focus; collaborating with customers and suppliers for data-driven solutions to meet the needs of digital consumers and markets .	beschreibt Firma/Angebot, nicht Bewerber	FA: Kontext falsch
falscher Alarm	test_765		exposed to a wide range of tech	You'll be exposed to a wide range of tech and won't be restricted to a Back End-only role .	beschreibt Firma/Angebot, nicht Bewerber	FA: Kontext falsch
falscher Alarm	test_2492		work with professional and motivated people	You will have significant influence on your day-to-day tasks in a position where you work with professional and motivated people aspiring to inspire lead and deliver .	beschreibt Firma/Angebot, nicht Bewerber	FA: Kontext falsch
falscher Alarm	test_807		challenge us as well as yourself	Above all you’re a pragmatist who’s willing to challenge us as well as yourself .	plausibler Skill, Gold fehlt	FA: Annotationslücke
falscher Alarm	test_3349		fun	If so and if you have an outgoing & fun personality then this is the job for you:	Eigenschaftsadjektiv, Gold uneinheitlich	FA: Adjektiv
falscher Alarm	test_2533		curious	Were a highly diverse team and were always looking for passionate and curious people who want to be part of a fast-paced high-energy environment .	Eigenschaftsadjektiv, Gold uneinheitlich	FA: Adjektiv
falscher Alarm	test_2765		Running and aligning digital supply chain initiatives	Running and aligning digital supply chain initiatives	plausibler Skill, Gold fehlt	FA: Annotationslücke
falscher Alarm	test_2314		refactoring standards	Ensure code quality and maintainability by evolving architecture and tech stack code reviews refactoring standards and improving build and test systems	plausibler Skill, Gold fehlt	FA: Annotationslücke
falscher Alarm	test_1290		creative	We hire smart creative and humble people who possess a lot of heart and drive – and who value and build relationships in everything they do .	Eigenschaftsadjektiv, Gold uneinheitlich	FA: Adjektiv
falscher Alarm	test_966		become part of new and large-scale projects	As a member of our QA team you will have the unique and rewarded opportunity to become part of new and large-scale projects and to design them for the benefit of our customers .	beschreibt Firma/Angebot, nicht Bewerber	FA: Kontext falsch
falscher Alarm	test_3096		elaboration of user stories	Good experience of continual delivery pipeline tools ( Jenkins Ansible . . )  Good verbal communication skills; able to articulate clearly to technical team members during agile ceremonies and to work with product owners in the elaboration of user stories	plausibel; anderswo Gold (Zeile 75)	FA: Annotationslücke
falscher Alarm	test_1176		passionate	Are you a passionate game developer with a flair for gameplay and a good aesthetic know-how?	Eigenschaftsadjektiv, Gold uneinheitlich	FA: Adjektiv
falscher Alarm	test_608		work with hardworking people	Continuous mentoring you will work with hardworking people and receive ongoing coaching and mentoring from your line manager and other colleagues .	beschreibt Firma/Angebot, nicht Bewerber	FA: Kontext falsch
falscher Alarm	test_3171		cooperating as a team	Their loyal employees work independently and understand the importance of cooperating as a team in order to reach company goals .	plausibler Skill, Gold fehlt	FA: Annotationslücke
falscher Alarm	test_2343		gain new skills	Develop capabilities gain new skills and participate in Hackweek	plausibler Skill, Gold fehlt	FA: Annotationslücke
falscher Alarm	test_2785		learn and develop	Most important of all is that youre a self-starter enjoy a fast-paced work environment and want an opportunity to build on your existing experience and learn and develop within the role .	plausibel; anderswo Gold (Zeile 87)	FA: Annotationslücke
falscher Alarm	test_28		allowing clients to easily define and compute analytics on a wide variety of financial instruments	You will partner primarily with fellow technologists from across lines of business Product Development and Quantitative Research to build a modern and comprehensive API allowing clients to easily define and compute analytics on a wide variety of financial instruments .	beschreibt Firma/Angebot, nicht Bewerber	FA: Kontext falsch
falscher Alarm	test_2451		have a broad interface	You will have a broad interface and work closely with people from all over the organization and on all organizational levels .	beschreibt Firma/Angebot, nicht Bewerber	FA: Kontext falsch
falscher Alarm	test_608		mentoring	Continuous mentoring you will work with hardworking people and receive ongoing coaching and mentoring from your line manager and other colleagues .	beschreibt Firma/Angebot, nicht Bewerber	FA: Kontext falsch
falscher Alarm	test_2089		ensure its functionality scalability uptime and security	Continuously improve and maintain components & systems to ensure its functionality scalability uptime and security .	plausibler Skill, Gold fehlt	FA: Annotationslücke
falscher Alarm	test_1103		refactoring	• Full development lifecycle from designing to production bug fixing enhancements and refactoring	plausibler Skill, Gold fehlt	FA: Annotationslücke
falscher Alarm	test_2314		evolving architecture and tech stack code reviews	Ensure code quality and maintainability by evolving architecture and tech stack code reviews refactoring standards and improving build and test systems	plausibler Skill, Gold fehlt	FA: Annotationslücke
zu kurz	test_2879	enabling your team to deliver in a timely and flawless manner	deliver in a timely and flawless manner	You will focus on enabling your team to deliver in a timely and flawless manner which means that you run or participate in systematic problem solving .	Rahmen links fehlt: „enabling your team to“	ZK: Rahmen/Haltung links weg
zu kurz	test_2782	enjoy learning	learning	If youre curious enjoy learning and want to have an impact on enabling the next generation of renewable energy projects we would like to hear from you .	Rahmen links fehlt: „enjoy“	ZK: Rahmen/Haltung links weg
zu kurz	test_286	good communicator	communicator	You are a good communicator and enjoy working in a team	Modifikator links fehlt: „good“	ZK: Modifikator links weg
zu kurz	test_2945	use your service skills to assist them as efficiently as possible	service skills	Your primary task will be to familiarise yourself with your colleagues' situation and use your service skills to assist them as efficiently as possible .	nur Kernwort übrig, beidseitig gekürzt	ZK: nur Kern übrig
zu kurz	test_3293	Participation in and possibly initiation of externally funded research projects	initiation of externally funded research projects	Participation in and possibly initiation of externally funded research projects and the co-ordination of such projects .	Rahmen links fehlt: „Participation in and possibly“	ZK: Rahmen/Haltung links weg
zu kurz	test_2708	continuously working on your own development	working on your own development	Motivated by overcoming obstacles and continuously working on your own development .	Modifikator links fehlt: „continuously“	ZK: Modifikator links weg
zu kurz	test_2840	picking and packing orders with a hand scanner	picking and packing orders	As a warehouse worker you will primarily be picking and packing orders with a hand scanner	bricht vor „with“ ab	ZK: bricht vor Präposition ab
zu kurz	test_2483	analytical proactive and structured workstyle	proactive	You must have an analytical proactive and structured workstyle with a high-quality mindset .	nur Kernwort übrig, beidseitig gekürzt	ZK: nur Kern übrig
zu kurz	test_2599	good humoured	humoured	Be good humoured loyal dedicated and flexible .	Modifikator links fehlt: „good“	ZK: Modifikator links weg
zu kurz	test_802	good listener	listener	You're both a good listener and able to explain concepts to others .	Modifikator links fehlt: „good“	ZK: Modifikator links weg
zu kurz	test_1190	Participating in the development of performant and rigid systems	development of performant and rigid systems	Participating in the development of performant and rigid systems	Rahmen links fehlt: „Participating in“	ZK: Rahmen/Haltung links weg
zu kurz	test_2707	Good at acquiring new skills	acquiring new skills	Good at acquiring new skills and using them actively to improve your performance .	Rahmen links fehlt: „Good at“	ZK: Rahmen/Haltung links weg
zu kurz	test_2966	demonstrating persistence	persistence	You enjoy providing the best possible service demonstrating persistence patience and attentiveness .	Rahmen links fehlt: „demonstrating“	ZK: Rahmen/Haltung links weg
zu kurz	test_132	identify app issues vs configuration/environment issues )	identify app issues vs configuration/environment issues	Support developers troubleshooting deployed applications ( identify app issues vs configuration/environment issues ) Enhance quality through pipelines and usage of static analysis tools ( SonarQube . NET Analyzers Infer# etc. ) Your qualifications skills & experience	nur „)“ fehlt – Gold-Artefakt	Artefakt Satzzeichen
zu kurz	test_2091	back-end programming	programming	Python is your language - you are an experienced software developer with broad back-end programming skills	Modifikator links fehlt: „back-end“	ZK: Modifikator links weg
zu kurz	test_3084	Participation in the elaboration of user stories	elaboration of user stories	Key responsibilities  Participation in the elaboration of user stories ( technical and functional) .	Rahmen links fehlt: „Participation in“	ZK: Rahmen/Haltung links weg
zu kurz	test_1403	testing at various levels in an agile environment	testing	At the same time you have a high level of awareness when it comes to quality and you possess the necessary skills such as testing at various levels in an agile environment and test automation .	bricht vor „at“ ab	ZK: bricht vor Präposition ab
zu kurz	test_2890	work in a structured and targeted manner	structured and targeted	You work in a structured and targeted manner you never compromise on quality and you take pride in your team always solving its tasks for the good of the whole department .	nur Kernwort übrig, beidseitig gekürzt	ZK: nur Kern übrig
zu kurz	test_3452	ready to face new challenges	face new challenges	You are committed and flexible have an innovative mind-set with lots of new ideas are ready to face new challenges and like to take responsibility possess excellent skills to execute and communicate complex research goals are enthusiastic about working at the frontier of catalysis sciences .	Rahmen links fehlt: „ready to“	ZK: Rahmen/Haltung links weg
zu kurz	test_1682	assist in developing design specifications	developing design specifications	Work with business product owners and business analysts to elicit requirements & assist in developing design specifications to maximise the benefit of Dynamics 365 .	Rahmen links fehlt: „assist in“	ZK: Rahmen/Haltung links weg
zu kurz	test_3379	demonstrate leadership abilities	leadership abilities	It is important you have a mature approach to the job and can demonstrate leadership abilities .	Rahmen links fehlt: „demonstrate“	ZK: Rahmen/Haltung links weg
zu kurz	test_805	don't like boring repetitive tasks	like boring repetitive tasks	You're lazy you don't like boring repetitive tasks and you like to outsource your labour to the compiler .	Rahmen links fehlt: „don't (Negation!)“	ZK: Rahmen/Haltung links weg
zu kurz	test_2705	Excited about meeting new people	meeting new people	You are: Extroverted and energetic Excited about meeting new people and enjoy interacting with many different characters .	Rahmen links fehlt: „Excited about“	ZK: Rahmen/Haltung links weg
zu kurz	test_2848	Show initiative	initiative	Show initiative and like a work day where the tasks are varied	Rahmen links fehlt: „Show“	ZK: Rahmen/Haltung links weg
zu kurz	test_1194	making user experiences at an interactive degree	making user experiences	Experience in UX especially making user experiences at an interactive degree	bricht vor „at“ ab	ZK: bricht vor Präposition ab
zu kurz	test_1391	professional attitude	professional	As a developer your infectious enthusiasm and professional attitude make you a role model for your project team .	Kopfnomen „attitude“ fehlt	ZK: Kopfnomen rechts weg
zu kurz	test_2522	Collaborate with a team of designers copywriters and marketers	Collaborate with a team	What you'll do: Collaborate with a team of designers copywriters and marketers to craft and deliver exceptional landing pages and experiences on our blog ecosystem Participate in creative projects to deliver maximum impact together with specialists; for example our website for the annual conference Spark Bring your own creative solutions and ideas to solve challenges and improve our overall website & campaign performance Help build and maintain a design system and development process to allow our team to move faster and become autonomous Organize and maintain markup JavaScript and CSS while developing quality well-performing and scalable code What you have: +2 years experience in a similar role Proficient in JavaScript HTML and CSS/SASS Understanding of version control systems like Git Experience with Angular React TypeScript Experience with RESTful APIs Experience with responsive design media queries Be familiar with design tools such as: Adobe Creative Suite Sketch Invision etc .	bricht vor „of“ ab	ZK: bricht vor Präposition ab
zu kurz	test_2784	desire to learn and develop	learn and develop	Your competences include that you are newly graduated or have a few years of experience have a degree in business economics maths or a similar discipline have a desire to learn and develop are proactive commercially astute and have a problem-solving attitude are a team player and thrive in an international environment are a good communicator who speaks and writes English fluently .	Rahmen links fehlt: „desire to“	ZK: Rahmen/Haltung links weg
zu kurz	test_3037	Manage and be part of all processes of a typical sales cycle	Manage and be part of all processes	Manage and be part of all processes of a typical sales cycle from A-Z .	bricht vor „of“ ab	ZK: bricht vor Präposition ab
zu kurz	test_2964	take a structured approach to work	structured approach	You take a structured approach to work and are skilled in prioritising your tasks and identifying those that are the most important .	nur Kernwort übrig, beidseitig gekürzt	ZK: nur Kern übrig
zu lang	test_3166	proactively	Work independently and proactively	To be considered for this position it is important that you: Have a forklift license Work independently and proactively Set high standards for your work Are a flexible and helpful colleague Focus on work environment	über „and“ verbunden (+independently and)	ZL: Koordination über and
zu lang	test_1739	maintain strong Backend code quality	Ensure to maintain strong Backend code quality with good practices	Ensure to maintain strong Backend code quality with good practices .	beidseitig erweitert (Ensure to … with good practices)	ZL: Ergänzung rechts angehängt
zu lang	test_2361	communication skills	technical communication skills	Team player who likes to engage with colleagues at a professional and personal level Great technical communication skills	Modifikator/Kopf dazu: „technical“	ZL: Modifikator angehängt
zu lang	test_3363	leading	leading a larger group	and leading a larger group	Ergänzung rechts dazu: „a larger group“	ZL: Ergänzung rechts angehängt
zu lang	test_1396	develop an in-depth understanding of the domains and the requirements	develop an in-depth understanding of the domains and the requirements of individual projects	You develop an in-depth understanding of the domains and the requirements of individual projects and you are happy to share your valuable insights with customers and offer them professional advice .	Ergänzung rechts dazu: „of individual projects“	ZL: Ergänzung rechts angehängt
zu lang	test_3478	outgoing	outgoing as person	Besides that you are outgoing as person and great at getting things to move forward in an optimized way .	Ergänzung rechts dazu: „as person“	ZL: Ergänzung rechts angehängt
zu lang	test_675	definition & communication of “fit for purpose”	definition & communication of “fit for purpose” technical and architectural vision	Responsible for definition & communication of “fit for purpose” technical and architectural vision for the ART based on functional and non-functional requirements and also in support for new business capabilities	Ergänzung rechts dazu: „technical and architectural vision“	ZL: Ergänzung rechts angehängt
