doc_id	layer	nur_bei	span
01_performance-marketing-manager	SKILL	nur A	Erstellung und Abstimmung von Kommunikations - und Vertriebsunterlagen
01_performance-marketing-manager	SKILL	nur A	Aufbau eines professionellen Produktmarketings
01_performance-marketing-manager	SKILL	nur A	Planung , Überwachung und Einhaltung des Marketingbudgets
01_performance-marketing-manager	SKILL	nur A	Praxis im Einsatz gängiger Marketing - und Analyseplattformen
01_performance-marketing-manager	SKILL	nur A	Kommunikationsfähigkeit auf Deutsch und Englisch in Wort und Schrift
01_performance-marketing-manager	SKILL	nur B	Erstellung und Abstimmung von Kommunikations - und Vertriebsunterlagen für digitale und gedruckte Formate
01_performance-marketing-manager	SKILL	nur B	Begleitung der digitalen Weiterentwicklung des Marketings
01_performance-marketing-manager	SKILL	nur B	Unterstützung beim Aufbau eines professionellen Produktmarketings
01_performance-marketing-manager	SKILL	nur B	Mitarbeit bei Planung , Überwachung und Einhaltung des Marketingbudgets
01_performance-marketing-manager	SKILL	nur B	Einsatz gängiger Marketing - und Analyseplattformen wie Google Ads , Google Analytics , WordPress , Mailchimp oder Canva
01_performance-marketing-manager	SKILL	nur B	Sehr gute Kommunikationsfähigkeit auf Deutsch und Englisch in Wort und Schrift
01_performance-marketing-manager	KNOWLEDGE	nur B	B2B-Umfeld
01_performance-marketing-manager	KNOWLEDGE	nur B	Website
01_performance-marketing-manager	KNOWLEDGE	nur B	Produktmarketings
01_performance-marketing-manager	KNOWLEDGE	nur B	Marketingbudgets
01_performance-marketing-manager	KNOWLEDGE	nur B	B2B-Bezug
02_social-media-manager	SKILL	nur A	Bildbearbeitung mit Adobe Photoshop CC
02_social-media-manager	SKILL	nur A	Grafikdesign mit Adobe CC
02_social-media-manager	SKILL	nur B	Sie unterrichten hochqualifizierte Personen mit abgeschlossenem Studium oder Ausbildung im Bereich Marketing , Medien , Journalismus , Betriebswirtschaft oder Geistes - und Sprachwissenschaften oder mit vergleichbarer Berufserfahrung
02_social-media-manager	SKILL	nur B	Qualifizierte Vermittlung der folgenden Bereiche
02_social-media-manager	KNOWLEDGE	nur A	Adobe Photoshop CC
02_social-media-manager	KNOWLEDGE	nur A	Künstliche Intelligenz
02_social-media-manager	KNOWLEDGE	nur A	Adobe CC
02_social-media-manager	KNOWLEDGE	nur A	Social Media Marketing
02_social-media-manager	KNOWLEDGE	nur A	Content Marketing
02_social-media-manager	KNOWLEDGE	nur A	Projektarbeit
02_social-media-manager	KNOWLEDGE	nur B	Bildbearbeitung mit Adobe Photoshop CC
02_social-media-manager	KNOWLEDGE	nur B	Künstliche Intelligenz ( KI ) im Arbeitsprozess
02_social-media-manager	KNOWLEDGE	nur B	Grafikdesign mit Adobe CC
02_social-media-manager	KNOWLEDGE	nur B	Fachwissen Social Media Marketing
02_social-media-manager	KNOWLEDGE	nur B	Fachwissen Content Marketing
02_social-media-manager	KNOWLEDGE	nur B	Projektarbeit , Zertifizierungsvorbereitung und Zertifizierungsprüfung
03_e-commerce-trainer	SKILL	nur B	Sie unterrichten Personen , die bei der Konzipierung , Gestaltung und praktischen Umsetzung von Internet - Auftritten mit E-Commerce-Funktionen verantwortlich mitwirken und die dafür notwendigen Kenntnisse und Fähigkeiten erwerben wollen
03_e-commerce-trainer	SKILL	nur B	Qualifizierte Vermittlung der folgenden Bereiche
03_e-commerce-trainer	KNOWLEDGE	nur A	E-Commerce
03_e-commerce-trainer	KNOWLEDGE	nur A	Online-Shop-Systeme
03_e-commerce-trainer	KNOWLEDGE	nur A	Künstliche Intelligenz
03_e-commerce-trainer	KNOWLEDGE	nur A	Online-Marketing
03_e-commerce-trainer	KNOWLEDGE	nur A	Kundengewinnung
03_e-commerce-trainer	KNOWLEDGE	nur A	Zahlungssysteme
03_e-commerce-trainer	KNOWLEDGE	nur A	Finanzen
03_e-commerce-trainer	KNOWLEDGE	nur A	Logistik
03_e-commerce-trainer	KNOWLEDGE	nur A	Fulfillment
03_e-commerce-trainer	KNOWLEDGE	nur A	Kundenservice
03_e-commerce-trainer	KNOWLEDGE	nur A	CRM
03_e-commerce-trainer	KNOWLEDGE	nur A	Web-Controlling
03_e-commerce-trainer	KNOWLEDGE	nur A	Datenanalyse
03_e-commerce-trainer	KNOWLEDGE	nur B	Grundlagen des E-Commerce
03_e-commerce-trainer	KNOWLEDGE	nur B	Online-Shop-Systeme und - Gestaltung
